X : 22, Y : 7, G : 2251, H : 1300, F : 3551
X : 23, Y : 7, G : 2351, H : 1200, F : 3551
X : 19, Y : 5, G : 1787, H : 1800, F : 3587
X : 18, Y : 6, G : 1787, H : 1800, F : 3587
X : 22, Y : 6, G : 2210, H : 1400, F : 3610
X : 19, Y : 9, G : 2210, H : 1400, F : 3610
X : 19, Y : 8, G : 2110, H : 1500, F : 3610
X : 21, Y : 6, G : 2110, H : 1500, F : 3610
X : 26, Y : 7, G : 2733, H : 900, F : 3633
X : 20, Y : 11, G : 2533, H : 1100, F : 3633
X : 20, Y : 12, G : 2633, H : 1000, F : 3633
X : 20, Y : 13, G : 2733, H : 900, F : 3633
X : 20, Y : 14, G : 2833, H : 800, F : 3633
X : 20, Y : 15, G : 2933, H : 700, F : 3633
X : 18, Y : 4, G : 1646, H : 2000, F : 3646
X : 17, Y : 5, G : 1646, H : 2000, F : 3646
X : 21, Y : 5, G : 2069, H : 1600, F : 3669
X : 18, Y : 8, G : 2069, H : 1600, F : 3669
X : 18, Y : 7, G : 1969, H : 1700, F : 3669
X : 20, Y : 5, G : 1969, H : 1700, F : 3669
X : 25, Y : 7, G : 2692, H : 1000, F : 3692
X : 28, Y : 8, G : 2892, H : 800, F : 3692
X : 23, Y : 6, G : 2392, H : 1300, F : 3692
X : 27, Y : 7, G : 2892, H : 800, F : 3692
X : 19, Y : 11, G : 2492, H : 1200, F : 3692
X : 24, Y : 6, G : 2492, H : 1200, F : 3692
X : 17, Y : 3, G : 1505, H : 2200, F : 3705
X : 16, Y : 4, G : 1505, H : 2200, F : 3705
X : 20, Y : 4, G : 1928, H : 1800, F : 3728
X : 17, Y : 7, G : 1928, H : 1800, F : 3728
X : 17, Y : 6, G : 1828, H : 1900, F : 3728
X : 19, Y : 4, G : 1828, H : 1900, F : 3728
X : 29, Y : 9, G : 2951, H : 800, F : 3751
X : 19, Y : 10, G : 2451, H : 1300, F : 3751
X : 23, Y : 5, G : 2351, H : 1400, F : 3751
